,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
567,30.1911478,-85.6058275,"Wind,Rain",2,0,,Single Family,1.0,0.0,2004.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.6058275,19.805995792908124
568,30.19123619,-85.60531922,"Wind,Rain",1,0,1.0,Single Family,1.0,0.0,2005.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.60531922,19.75671083903133
569,30.19131878,-85.60475562,"Wind,Rain",2,0,,Single Family,1.0,0.0,2005.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60475562,19.70215059864968
570,30.19132313,-85.60592137,"Wind,Rain",2,0,1.0,Single Family,1.0,0.0,2004.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60592137,19.814029744145103
571,30.19148976,-85.60582582,"Wind,Rain",2,0,,Single Family,1.0,0.0,2004.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60582582,19.803946891858946
572,30.19162249,-85.60641255,"Wind,Rain",2,0,,Single Family,1.0,0.0,2004.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60641255,19.859560463936614
573,30.1917952,-85.60593378,"Wind,Rain",3,0,,Single Family,1.0,0.0,2003.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.60593378,19.81268711872438
574,30.19191315,-85.60423192,Wind,1,0,,Single Family,1.0,0.0,2009.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Wood Shake/Shingle","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.60423192,19.64868517131411
575,30.19196879,-85.60581744,"Wind,Rain",2,0,1.0,Single Family,1.0,0.0,2003.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.60581744,19.80062054268689
576,30.192089,-85.605819,"Wind,Rain",3,0,1.0,Single Family,1.0,0.0,2003.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.605819,19.800159906982245
577,30.194469,-85.836689,Wind,1,0,,Retail,1.0,0.0,1986.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Fiber-Cement Board,"""Wood, unknown""",,Clay tiles,1,-85.836689,35.287792732073136
